0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
47   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /usr/local/Cellar/solr/4.8.1/libexec/example/contexts at interval 0
67   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /usr/local/Cellar/solr/4.8.1/libexec/example/contexts/solr-jetty-context.xml
2012 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
4020 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created standard: solr.StandardRequestHandler
4020 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /update: solr.UpdateRequestHandler
4020 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.FieldAnalysisRequestHandler
4021 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/field: solr.FieldAnalysisRequestHandler
4022 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update: solr.UpdateRequestHandler
4022 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /admin/: org.apache.solr.handler.admin.AdminHandlers
4023 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /get: solr.RealTimeGetHandler
4023 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.ReplicationHandler
4023 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /replication: solr.ReplicationHandler
4024 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/: org.apache.solr.handler.admin.AdminHandlers
4026 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created standard: solr.StandardRequestHandler
4026 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.FieldAnalysisRequestHandler
4026 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/field: solr.FieldAnalysisRequestHandler
4027 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /update: solr.UpdateRequestHandler
4027 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /admin/: org.apache.solr.handler.admin.AdminHandlers
4034 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/ping: solr.PingRequestHandler
4034 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /admin/ping: solr.PingRequestHandler
4037 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /admin/ping: solr.PingRequestHandler
4067 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
4069 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
4070 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
4118 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – Hard AutoCommit: disabled
4118 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.SolrCore  – Hard AutoCommit: disabled
4119 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.SolrCore  – Soft AutoCommit: disabled
